Time Step,Time,Total Discharge
0,2015-12-01 00:00:00,0.766093
1,2015-12-01 01:00:00,0.818272
2,2015-12-01 02:00:00,0.859030
3,2015-12-01 03:00:00,0.922590
4,2015-12-01 04:00:00,0.990930
5,2015-12-01 05:00:00,1.068519
6,2015-12-01 06:00:00,1.153542
7,2015-12-01 07:00:00,1.263725
8,2015-12-01 08:00:00,1.544764
9,2015-12-01 09:00:00,1.719910
10,2015-12-01 10:00:00,1.819900
11,2015-12-01 11:00:00,1.985975
12,2015-12-01 12:00:00,2.112035
13,2015-12-01 13:00:00,2.192043
14,2015-12-01 14:00:00,2.295705
15,2015-12-01 15:00:00,2.374753
16,2015-12-01 16:00:00,2.484587
17,2015-12-01 17:00:00,2.572236
18,2015-12-01 18:00:00,2.686744
19,2015-12-01 19:00:00,2.771843
20,2015-12-01 20:00:00,2.837596
21,2015-12-01 21:00:00,2.918034
22,2015-12-01 22:00:00,3.045384
23,2015-12-01 23:00:00,3.200684
24,2015-12-02 00:00:00,3.374728
25,2015-12-02 01:00:00,3.545128
26,2015-12-02 02:00:00,3.741147
27,2015-12-02 03:00:00,3.906160
28,2015-12-02 04:00:00,4.051275
29,2015-12-02 05:00:00,4.172425
30,2015-12-02 06:00:00,4.269901
31,2015-12-02 07:00:00,4.363019
32,2015-12-02 08:00:00,4.441072
33,2015-12-02 09:00:00,4.491988
34,2015-12-02 10:00:00,4.544130
35,2015-12-02 11:00:00,4.573585
36,2015-12-02 12:00:00,4.586552
37,2015-12-02 13:00:00,4.502052
38,2015-12-02 14:00:00,4.428705
39,2015-12-02 15:00:00,4.325107
40,2015-12-02 16:00:00,4.249529
41,2015-12-02 17:00:00,4.142299
42,2015-12-02 18:00:00,4.049194
43,2015-12-02 19:00:00,3.940163
44,2015-12-02 20:00:00,3.837842
45,2015-12-02 21:00:00,3.752888
46,2015-12-02 22:00:00,3.738876
47,2015-12-02 23:00:00,3.694178
48,2015-12-03 00:00:00,3.653086
49,2015-12-03 01:00:00,3.658572
50,2015-12-03 02:00:00,3.700928
51,2015-12-03 03:00:00,3.730228
52,2015-12-03 04:00:00,3.817820
53,2015-12-03 05:00:00,3.825131
54,2015-12-03 06:00:00,4.394088
55,2015-12-03 07:00:00,4.427252
56,2015-12-03 08:00:00,4.334837
57,2015-12-03 09:00:00,4.217148
58,2015-12-03 10:00:00,4.325378
59,2015-12-03 11:00:00,4.432358
60,2015-12-03 12:00:00,4.500949
61,2015-12-03 13:00:00,4.485695
62,2015-12-03 14:00:00,4.479339
63,2015-12-03 15:00:00,4.383277
64,2015-12-03 16:00:00,4.232860
65,2015-12-03 17:00:00,4.080950
66,2015-12-03 18:00:00,3.907902
67,2015-12-03 19:00:00,3.762308
68,2015-12-03 20:00:00,3.609774
69,2015-12-03 21:00:00,3.469490
70,2015-12-03 22:00:00,3.357793
71,2015-12-03 23:00:00,3.266030
72,2015-12-04 00:00:00,3.175795
73,2015-12-04 01:00:00,3.145460
74,2015-12-04 02:00:00,3.114941
75,2015-12-04 03:00:00,3.075114
76,2015-12-04 04:00:00,3.003613
77,2015-12-04 05:00:00,2.957213
78,2015-12-04 06:00:00,2.897395
79,2015-12-04 07:00:00,2.838248
80,2015-12-04 08:00:00,2.758624
81,2015-12-04 09:00:00,2.689934
82,2015-12-04 10:00:00,2.611571
83,2015-12-04 11:00:00,2.532572
84,2015-12-04 12:00:00,2.467790
85,2015-12-04 13:00:00,2.338185
86,2015-12-04 14:00:00,2.234694
87,2015-12-04 15:00:00,2.146694
88,2015-12-04 16:00:00,2.022574
89,2015-12-04 17:00:00,1.928163
90,2015-12-04 18:00:00,1.863948
91,2015-12-04 19:00:00,1.820766
92,2015-12-04 20:00:00,1.786375
93,2015-12-04 21:00:00,1.776566
94,2015-12-04 22:00:00,1.809780
95,2015-12-04 23:00:00,1.844261
96,2015-12-05 00:00:00,1.900051
97,2015-12-05 01:00:00,1.976757
98,2015-12-05 02:00:00,2.059257
99,2015-12-05 03:00:00,2.127969
100,2015-12-05 04:00:00,2.174092
101,2015-12-05 05:00:00,2.225869
102,2015-12-05 06:00:00,2.262541
103,2015-12-05 07:00:00,2.291399
104,2015-12-05 08:00:00,2.309754
105,2015-12-05 09:00:00,2.325607
106,2015-12-05 10:00:00,2.322240
107,2015-12-05 11:00:00,2.318038
108,2015-12-05 12:00:00,2.320258
109,2015-12-05 13:00:00,2.258420
110,2015-12-05 14:00:00,2.212883
111,2015-12-05 15:00:00,2.196140
112,2015-12-05 16:00:00,2.200788
113,2015-12-05 17:00:00,2.235179
114,2015-12-05 18:00:00,2.290708
115,2015-12-05 19:00:00,2.405260
116,2015-12-05 20:00:00,2.489303
117,2015-12-05 21:00:00,2.589586
118,2015-12-05 22:00:00,2.716304
119,2015-12-05 23:00:00,2.827780
120,2015-12-06 00:00:00,2.936811
121,2015-12-06 01:00:00,3.027271
122,2015-12-06 02:00:00,3.114594
123,2015-12-06 03:00:00,3.187459
124,2015-12-06 04:00:00,3.218059
125,2015-12-06 05:00:00,3.258537
126,2015-12-06 06:00:00,3.283886
127,2015-12-06 07:00:00,3.307681
128,2015-12-06 08:00:00,3.307004
129,2015-12-06 09:00:00,3.299765
130,2015-12-06 10:00:00,3.279791
131,2015-12-06 11:00:00,3.269960
132,2015-12-06 12:00:00,3.257913
133,2015-12-06 13:00:00,3.169288
134,2015-12-06 14:00:00,3.093166
135,2015-12-06 15:00:00,3.022833
136,2015-12-06 16:00:00,3.007746
137,2015-12-06 17:00:00,2.986307
138,2015-12-06 18:00:00,2.992144
139,2015-12-06 19:00:00,3.044164
140,2015-12-06 20:00:00,3.079911
141,2015-12-06 21:00:00,3.130187
142,2015-12-06 22:00:00,3.228395
143,2015-12-06 23:00:00,3.301321
144,2015-12-07 00:00:00,3.373196
145,2015-12-07 01:00:00,3.415300
146,2015-12-07 02:00:00,3.469019
147,2015-12-07 03:00:00,3.505259
148,2015-12-07 04:00:00,3.556864
149,2015-12-07 05:00:00,3.613207
150,2015-12-07 06:00:00,3.642854
151,2015-12-07 07:00:00,3.640232
152,2015-12-07 08:00:00,3.644679
153,2015-12-07 09:00:00,3.633277
154,2015-12-07 10:00:00,3.612354
155,2015-12-07 11:00:00,3.567838
156,2015-12-07 12:00:00,3.536815
157,2015-12-07 13:00:00,3.433580
158,2015-12-07 14:00:00,3.335098
159,2015-12-07 15:00:00,3.258069
160,2015-12-07 16:00:00,3.222077
161,2015-12-07 17:00:00,3.166907
162,2015-12-07 18:00:00,3.147672
163,2015-12-07 19:00:00,3.114996
164,2015-12-07 20:00:00,3.119619
165,2015-12-07 21:00:00,3.162772
166,2015-12-07 22:00:00,3.276296
167,2015-12-07 23:00:00,3.407498
168,2015-12-08 00:00:00,3.525540
169,2015-12-08 01:00:00,3.606129
170,2015-12-08 02:00:00,3.697965
171,2015-12-08 03:00:00,3.744295
172,2015-12-08 04:00:00,3.761858
173,2015-12-08 05:00:00,3.779674
174,2015-12-08 06:00:00,3.775866
175,2015-12-08 07:00:00,3.765468
176,2015-12-08 08:00:00,3.750707
177,2015-12-08 09:00:00,3.728618
178,2015-12-08 10:00:00,3.711985
179,2015-12-08 11:00:00,3.690784
180,2015-12-08 12:00:00,3.673537
181,2015-12-08 13:00:00,3.588155
182,2015-12-08 14:00:00,3.492062
183,2015-12-08 15:00:00,3.405060
184,2015-12-08 16:00:00,3.325953
185,2015-12-08 17:00:00,3.245484
186,2015-12-08 18:00:00,3.189255
187,2015-12-08 19:00:00,3.171107
188,2015-12-08 20:00:00,3.118332
189,2015-12-08 21:00:00,3.082959
190,2015-12-08 22:00:00,3.088193
191,2015-12-08 23:00:00,3.089522
192,2015-12-09 00:00:00,3.109360
193,2015-12-09 01:00:00,3.121235
194,2015-12-09 02:00:00,3.184532
195,2015-12-09 03:00:00,3.167840
196,2015-12-09 04:00:00,3.240420
197,2015-12-09 05:00:00,3.322844
198,2015-12-09 06:00:00,3.404291
199,2015-12-09 07:00:00,3.529569
200,2015-12-09 08:00:00,3.705787
201,2015-12-09 09:00:00,3.795530
202,2015-12-09 10:00:00,3.883910
203,2015-12-09 11:00:00,3.965370
204,2015-12-09 12:00:00,4.004384
205,2015-12-09 13:00:00,3.950797
206,2015-12-09 14:00:00,3.808561
207,2015-12-09 15:00:00,3.651264
208,2015-12-09 16:00:00,3.520546
209,2015-12-09 17:00:00,3.365396
210,2015-12-09 18:00:00,3.242905
211,2015-12-09 19:00:00,3.142490
212,2015-12-09 20:00:00,3.079204
213,2015-12-09 21:00:00,3.036686
214,2015-12-09 22:00:00,3.033499
215,2015-12-09 23:00:00,3.036098
216,2015-12-10 00:00:00,3.052345
217,2015-12-10 01:00:00,3.095566
218,2015-12-10 02:00:00,3.128613
219,2015-12-10 03:00:00,3.133342
220,2015-12-10 04:00:00,3.116288
221,2015-12-10 05:00:00,3.104546
222,2015-12-10 06:00:00,3.076849
223,2015-12-10 07:00:00,3.042188
224,2015-12-10 08:00:00,3.028155
225,2015-12-10 09:00:00,2.998857
226,2015-12-10 10:00:00,2.974526
227,2015-12-10 11:00:00,2.932665
228,2015-12-10 12:00:00,2.897996
229,2015-12-10 13:00:00,2.826548
230,2015-12-10 14:00:00,2.715156
231,2015-12-10 15:00:00,2.631319
232,2015-12-10 16:00:00,2.506431
233,2015-12-10 17:00:00,2.408192
234,2015-12-10 18:00:00,2.322991
235,2015-12-10 19:00:00,2.252750
236,2015-12-10 20:00:00,2.203153
237,2015-12-10 21:00:00,2.164034
238,2015-12-10 22:00:00,2.163355
239,2015-12-10 23:00:00,2.192576
240,2015-12-11 00:00:00,2.242343
241,2015-12-11 01:00:00,2.293500
242,2015-12-11 02:00:00,2.348957
243,2015-12-11 03:00:00,2.416405
244,2015-12-11 04:00:00,2.486860
245,2015-12-11 05:00:00,2.557828
246,2015-12-11 06:00:00,2.630544
247,2015-12-11 07:00:00,2.713215
248,2015-12-11 08:00:00,2.780931
249,2015-12-11 09:00:00,2.823589
250,2015-12-11 10:00:00,2.858677
251,2015-12-11 11:00:00,2.878198
252,2015-12-11 12:00:00,2.892591
253,2015-12-11 13:00:00,2.894716
254,2015-12-11 14:00:00,2.889558
255,2015-12-11 15:00:00,2.903136
256,2015-12-11 16:00:00,2.895487
257,2015-12-11 17:00:00,2.941249
258,2015-12-11 18:00:00,3.018299
259,2015-12-11 19:00:00,3.145041
260,2015-12-11 20:00:00,3.254872
261,2015-12-11 21:00:00,3.344713
262,2015-12-11 22:00:00,3.413320
263,2015-12-11 23:00:00,3.483102
264,2015-12-12 00:00:00,3.516209
265,2015-12-12 01:00:00,3.555090
266,2015-12-12 02:00:00,3.560923
267,2015-12-12 03:00:00,3.559752
268,2015-12-12 04:00:00,3.534755
269,2015-12-12 05:00:00,3.504835
270,2015-12-12 06:00:00,3.460080
271,2015-12-12 07:00:00,3.417337
272,2015-12-12 08:00:00,3.364154
273,2015-12-12 09:00:00,3.306383
274,2015-12-12 10:00:00,3.250062
275,2015-12-12 11:00:00,3.189225
276,2015-12-12 12:00:00,3.138238
277,2015-12-12 13:00:00,3.069885
278,2015-12-12 14:00:00,3.015999
279,2015-12-12 15:00:00,2.970559
280,2015-12-12 16:00:00,2.909846
281,2015-12-12 17:00:00,2.880503
282,2015-12-12 18:00:00,2.851430
283,2015-12-12 19:00:00,2.835416
284,2015-12-12 20:00:00,2.831821
285,2015-12-12 21:00:00,2.855212
286,2015-12-12 22:00:00,2.922064
287,2015-12-12 23:00:00,3.015357
288,2015-12-13 00:00:00,3.123649
289,2015-12-13 01:00:00,3.246936
290,2015-12-13 02:00:00,3.361930
291,2015-12-13 03:00:00,3.467825
292,2015-12-13 04:00:00,3.582217
293,2015-12-13 05:00:00,3.687153
294,2015-12-13 06:00:00,3.783368
295,2015-12-13 07:00:00,3.883386
296,2015-12-13 08:00:00,3.970533
297,2015-12-13 09:00:00,4.044551
298,2015-12-13 10:00:00,4.112219
299,2015-12-13 11:00:00,4.157583
300,2015-12-13 12:00:00,4.194125
301,2015-12-13 13:00:00,4.169775
302,2015-12-13 14:00:00,4.147992
303,2015-12-13 15:00:00,4.094026
304,2015-12-13 16:00:00,4.021655
305,2015-12-13 17:00:00,3.959891
306,2015-12-13 18:00:00,3.898150
307,2015-12-13 19:00:00,3.859667
308,2015-12-13 20:00:00,3.834544
309,2015-12-13 21:00:00,3.824362
310,2015-12-13 22:00:00,3.800680
311,2015-12-13 23:00:00,3.791614
312,2015-12-14 00:00:00,3.784385
313,2015-12-14 01:00:00,3.842444
314,2015-12-14 02:00:00,3.884624
315,2015-12-14 03:00:00,3.935040
316,2015-12-14 04:00:00,3.945153
317,2015-12-14 05:00:00,3.970258
318,2015-12-14 06:00:00,3.980453
319,2015-12-14 07:00:00,3.985153
320,2015-12-14 08:00:00,3.981436
321,2015-12-14 09:00:00,3.971950
322,2015-12-14 10:00:00,3.961285
323,2015-12-14 11:00:00,3.939937
324,2015-12-14 12:00:00,3.921235
325,2015-12-14 13:00:00,3.869816
326,2015-12-14 14:00:00,3.831382
327,2015-12-14 15:00:00,3.782284
328,2015-12-14 16:00:00,3.721039
329,2015-12-14 17:00:00,3.669029
330,2015-12-14 18:00:00,3.650929
331,2015-12-14 19:00:00,3.607458
332,2015-12-14 20:00:00,3.539813
333,2015-12-14 21:00:00,3.475374
334,2015-12-14 22:00:00,3.478630
335,2015-12-14 23:00:00,3.441042
336,2015-12-15 00:00:00,3.429339
337,2015-12-15 01:00:00,3.395481
338,2015-12-15 02:00:00,3.401352
339,2015-12-15 03:00:00,3.388112
340,2015-12-15 04:00:00,3.372574
341,2015-12-15 05:00:00,3.357122
342,2015-12-15 06:00:00,3.331809
343,2015-12-15 07:00:00,3.309062
344,2015-12-15 08:00:00,3.278827
345,2015-12-15 09:00:00,3.242133
346,2015-12-15 10:00:00,3.196192
347,2015-12-15 11:00:00,3.149065
348,2015-12-15 12:00:00,3.097470
349,2015-12-15 13:00:00,3.005492
350,2015-12-15 14:00:00,2.942087
351,2015-12-15 15:00:00,2.876190
352,2015-12-15 16:00:00,2.797861
353,2015-12-15 17:00:00,2.717132
354,2015-12-15 18:00:00,2.634853
355,2015-12-15 19:00:00,2.568153
356,2015-12-15 20:00:00,2.478604
357,2015-12-15 21:00:00,2.419447
358,2015-12-15 22:00:00,2.391923
359,2015-12-15 23:00:00,2.372397
360,2015-12-16 00:00:00,2.375065
